,precision,recall,f1-score,accuracy,support
apple,0.91,0.91,0.91,0.91,224.0
empty,0.93,1.0,0.96,1.0,187.0
moustache,0.9,0.89,0.9,0.89,277.0
mouth,0.87,0.92,0.9,0.92,341.0
mug,0.96,0.93,0.95,0.93,227.0
nail,0.91,0.85,0.88,0.85,233.0
nose,0.91,0.88,0.9,0.88,121.0
octagon,0.9,0.88,0.89,0.88,288.0
paintbrush,0.82,0.86,0.84,0.86,164.0
panda,0.95,0.85,0.9,0.85,118.0
parrot,0.83,0.79,0.81,0.79,130.0
peanut,0.83,0.79,0.81,0.79,127.0
pear,0.8,0.78,0.79,0.78,113.0
pencil,0.9,0.87,0.89,0.87,164.0
penguin,0.92,0.93,0.93,0.93,200.0
pillow,0.88,0.86,0.87,0.86,164.0
pineapple,0.92,0.96,0.94,0.96,282.0
pool,0.83,0.86,0.85,0.86,309.0
rabbit,0.89,0.91,0.9,0.91,200.0
rhinoceros,0.88,0.8,0.84,0.8,135.0
rifle,0.81,0.92,0.86,0.92,280.0
rollerskates,0.91,0.91,0.91,0.91,172.0
sailboat,0.94,0.98,0.96,0.98,255.0
scorpion,0.9,0.88,0.89,0.88,222.0
screwdriver,0.89,0.77,0.83,0.77,111.0
shovel,0.87,0.85,0.86,0.85,148.0
sink,0.86,0.9,0.88,0.9,153.0
skateboard,0.93,0.9,0.91,0.9,268.0
skull,0.94,0.96,0.95,0.96,166.0
spoon,0.79,0.82,0.8,0.82,120.0
squiggle,0.82,0.71,0.76,0.71,101.0
average,0.88,0.87,0.88,0.87,193.55
weighted average,0.89,0.89,0.89,0.89,193.55
